title,description,genre
jungle cruise,Charyzmatyczny kapitan łodzi i odważna badaczka dzikiej przyrody wyruszają na wyprawę przez amazońską dżunglę by odnaleźć drzewo życia.,fantasy
all the money in the world,Szesnastoletni wnuk najbogatszego człowieka świata zostaje uprowadzony. Jego oddana matka stara się przekonać nieustępliwego miliardera do zapłacenia okupu porywaczom.,crime
partly cloudy,"Przynoszący dzieci bocian dostaje niemowlaki, które są hałaśliwe i kłopotliwe, przez co jego praca staje się coraz trudniejsza. ",animation
la vie dadele,"Życie piętnastoletniej Adeli zmienia się drastycznie, gdy poznaje niebieskowłosą Emmę. Przy niej odkrywa, czym jest namiętność. ",drama
hold om mig,Kilku chłopców symuluje gwałt na szkolnej koleżance. Jedna z przyglądających się scenie uczennic nagrywa wszystko telefonem komórkowym.,drama
boomerang,"Życie Marcusa, podrywacza oraz bawidamka, zmienia się, gdy poznaje nową szefową, Jacqueline. Mężczyzna chce ją zdobyć za wszelką cenę, nie wiedząc, że to specjalistka w notorycznym uwodzeniu i porzucaniu kochanków. ",comedy
dellamorte dellamore," Życie zwykłego opiekuna cmentarza nie jest takie łatwe jak się to wydaje. Nasz bohater - Francesco Dellamorte, oraz jego pomocnik - Gnaghi pracuja na cmentarzu Bullora,... ",horror
toy story 4,"Kowboj Chudy wraz z przyjaciółmi wyruszają na poszukiwania zaginionej nowej zabawki, Sztućka. ",animation
street fighter,"Niepokorny pułkownik Sił Zbrojnych ONZ planuje szturm na tajną fortecę zbrodniarza, by uwolnić pojmanych zakładników i powstrzymać szaleńca przed podbojem świata.",action
daddy day care, Charlie Hinton wraz ze swoim przyjacielem tracą swoje posady. Są zmuszeni zrezygnować z posyłania dzieci do prestiżowego przedszkola Chapman Academy. Charlie postanawia... ,family
mercury rising,Agent FBI podejmuje się ochrony cierpiącego na autyzm dziewięciolatka. Chłopiec złamał tajny kod uważany za niemożliwy do rozszyfrowania i dlatego poszukują go bezwzględni zabójcy.,thriller
the suicide squad,"Oddział skazańców zostaje wysłany na wyspę Corto Maltese, gdzie mają wykonać samobójczą misję zniszczenia laboratorium Jötunheim.",action
martyrs,"Skatowana Lucie trafia do szpitala, gdzie poznaje dziewczynę, która doświadczyła przemocy z rąk najbliższych osób.",drama
frankenweenie,Podczas zabawy pies Victora zostaje potrącony przez samochód i ginie. Chłopcu udaje się go jednak ożywić.,animation
juliusz,"Mimo drugiego zawału, ojciec Juliusza odmawia zmiany trybu życia. Wybawieniem zdaje się być Dorota, lekarz weterynarii.",comedy
lesbian vampire killers,James i Fletch trafiają do okolicy zamieszkałej przez żądne krwi wampirzyce-lesbijki.,horror
ghostbusters ii,Pogromcy duchów próbują przeszkodzić rumuńskiemu czarnoksiężnikowi w powrocie z zaświatów. ,horror
i saw the light,"Historia życia i kariera przedwcześnie zmarłego gwiazdora muzyki country, który tłumi rozmaitymi używkami ból kręgosłupa.",biography
"woody allen, a documentary: directors theatrical cut","Biografia Woody'ego Allena spleciona z informacji o jego filmach, zwyczajach i najważniejszych wydarzeniach z życia.",biography
star wars: the clone wars,"Syn Jabby Hutta zostaje porwany. Aby zapobiec przyłączeniu się gangstera do separatystów, władze Republiki wysyłają Anakina Skywalkera i jego nową uczennicę z misją ratunkową. ",animation
frankenstein,"Rok 1794. Ocalały rozbitek opowiada załodze statku mrożącą krew w żyłach historię o potworze, którego stworzył.",drama
a bad moms christmas,"Amy, Carla i Kiki muszą uporać się ze świątecznymi wizytami własnych matek.",comedy
the divide,Po wybuchu atomowym grupa ocalałych ludzi zamyka się w piwnicy apartamentowca. ,thriller
the black cauldron,"Młody świniopas marzy o tym, aby zostać rycerzem. Świnka, którą się opiekuje, ma magiczne zdolności i z tego powodu poluje na nią okrutny Rogaty Król.",animation
a private war,"Amerykańska korespondentka wojenna Marie Colvin opowiada o konfliktach w Kosowie, Czeczenii, Timorze Wschodnim i na Bliskim Wschodzie.",biography
blades of glory,Po wdaniu się w bójkę dwaj łyżwiarze figurowi dostają dożywotni zakaz występów solowych. Postanawiają wygrać więc zawody jako pierwsza męska para.,comedy
jiro dreams of sushi,Jiro ma 85 lat i jest największym na świecie mistrzem sushi. Dokument pozwala poznać nam jego historię.,documentary
mr. &amp; mrs. smith,Para płatnych zabójców pracujących dla dwóch tajnych agencji wiedzie monotonne małżeńskie życie. Niespodziewanie dostają zlecenie na siebie nawzajem.,action
the mask,"Stanley Ipkiss, nudny urzędnik bankowy, znajduje w rzece maskę. Gdy ją zakłada, staje się niezniszczalny, uwodzicielski i pewny siebie. ",fantasy
smaragdgrun,"Gwendolyna Shepherd po ostatnich przeżyciach ma problemy osobiste. Pytanie, czy dalej powinna walczyć, czy odpóścić, nie jest jej jedynym problemem. ",fantasy
are we there yet?," Gdy Nick (Ice Cube) zakochuje się w Suzanne (Nia Long), która jest samotną matką, początkowo nie przejmuje się tym, co myślą o nim jej dzieci. Poza tym Suzanne uważa, że... ",family
bo we mnie jest seks,"Kalina Jędrusik - zjawiskowa aktorka i piosenkarka. Ma opinię naczelnej skandalistki i seksbomby PRL, polskiej Marilyn Monroe, a przecież największy skandal dopiero się zacznie...",biography
paradise kiss,"Yukari to wzorowa uczennica elitarnego liceum. Pewnego dnia dziewczyna poznaje projektantów, którzy zamierzają zaangażować ją w roli modelki. ",comedy
serbuan maut 2: berandal,Rama pod przykrywką infiltruje szeregi przestępczego syndykatu z Dżakarty. ,action
wallace &amp; gromit in the curse of the were-rabbit,Wallace i Gromit są właścicielami firmy ochroniarskiej. Kilka dni przed rozpoczęciem konkursu na największe warzywo zostają wynajęci do pozbycia się bestii.,animation
in the name of the king: a dungeon siege tale,"Gdy syn Farmera ginie z rozkazu złego maga Galliana, mężczyzna wyrusza na wojnę, by stawić czoło wojskom żądnego władzy tyrana. ",fantasy
over her dead body,Narzeczona Henry'ego ginie przed ślubem. Zdruzgotany mężczyzna zwraca się o pomoc do Ashley - medium.&nbsp;,fantasy
arthur et la vengeance de maltazard,"Artur powraca do krainy Minimków, gdyż jest przekonany, że księżniczce Selenii grozi niebezpieczeństwo. Tymczasem wiadomość o treści S.O.S. nie pochodzi od niej.",animation
the hunting ground,"Dokument porusza problem tuszowania gwałtów, których ofiarami są studentki amerykańskich kampusów uniwersyteckich. ",documentary
an american werewolf in london,Dwóch amerykańskich studentów zostaje zaatakowanych przez wilkołaka w trakcie wycieczki po Anglii. Jeden z nich ulega infekcji. ,horror
inherent vice,"Los Angeles, rok 1970. U detektywa Larry'ego ""Doc"" Sportello pojawia się dawna ukochana z historią o porwaniu jej obecnego chłopaka miliardera. ",crime
venom: let there be carnage,"Eddie Brock próbuje zrobić karierę przeprowadzając wywiad z seryjnym mordercą, który nieoczekiwanie zdobywa moce symbionta. ",action
one hundred and one dalmatians,"Okrutna Cruella DeMon marzy o płaszczu ze skór dalmatyńczyków, więc skupuje lub porywa szczenięta tej rasy. Rodzice uprowadzonej piętnastki maluchów, Pongo i Perdita, wyruszają im na ratunek.",animation
exorcist: the beginning,"Przeżywający kryzys wiary ojciec Merrin wyjeżdża na badania archeologiczne w Afryce, gdzie poszukuje starożytnego artefaktu.",horror
the disaster artist,"Historia spotkania i wczesnej przyjaźni Tommy'ego Wiseau oraz Grega Sestero - aktorów kultowego ""The Room"", który został okrzyknięty najgorszym filmem świata.",biography
amarcord,"Film jest zbiorem epizodów, których akcja rozgrywa się na prowincji w przedwojennych Włoszech. ",drama
the flintstones in viva rock vegas,"Po zdaniu końcowego egzaminu Fred i Barney dostają dobrze płatną pracę w kamieniołomach. By uczcić sukces, udają się do Bedrock, gdzie poznają wymarzone dziewczyny.",family
joan of arc,"Młoda dziewczyna doświadcza wizji, która motywuje ją do uwolnienia Francji od jej prześladowców. ",biography
the doors, Film ukazuje życie Jima Morrisona od momentu założenia The Doors do jego przedwczesnej śmierci.,biography
dolina issy," Akcja filmu toczy się na Litwie pod koniec lat dziesiątych XX wieku, w dolinie na pół mitycznej rzeki Issy. Osią fabularną utworu są losy żyjących tam ludzi - historia... ",thriller
what happened to monday,"Siostry nazwane dniami tygodnia żyją w ukryciu. Wszystko ulega zmianie, gdy jedna z nich nie wraca do domu. ",thriller
beethoven,"Mały bernardyn przypadkowo trafia pod dach państwa Newtonów. Dzieciaki zauroczone szczeniakiem nadają mu imię Beethoven i przekonują niechętnego ojca, by pozwolił im go zatrzymać.",family
uwiklanie,Uczestniczka terapii znajduje ciało mężczyzny - członka grupy terapeutycznej. Prokurator Szacka i komisarz Smolar próbują rozwikłać zagadkę tej śmierci.,crime
dennis the menace,"Dennis jest największym łobuzem w okolicy. Gdy jego matka podejmuje pracę, chłopiec trafia pod opiekę sąsiadów.",family
bandits,"Joe i Terry, by zdobyć pieniądze na otworzenie klubu nocnego, okradają banki. Kiedy poznają Kate, która dołącza do nich, zaczynają walczyć o jej względy.",comedy
winnie the pooh,"Kubuś Puchatek wybiera się na poszukiwanie miodu. Po drodze odwiedza Krzysia i przekręca wiadomość, którą chłopiec mu zostawił.",animation
savage grace,Kontrowersyjna relacja pomiędzy niestabilną emocjonalnie matką i uzależnionym od niej synem doprowadza do rodzinnej tragedii.,crime
2 guns,"Agent do walki z narkotykami i oficer wywiadu marynarki kradną pieniądze gangsterów, chcąc je przekazać na dobre cele. ",action
do the right thing,Upalny dzień w ubogiej dzielnicy Brooklynu prowokuje napięcia pomiędzy mniejszościami etnicznymi.&nbsp;,drama
oceans twelve,"Ktoś wydaje gang Danny'ego Oceana Terry'emu Benedictowi, właścicielowi kasyn, które ci doszczętnie obrabowali trzy lata wcześniej.",comedy
biohazard: damnation,"Kontynuacja animacji „Resident Evil: Degeneration"". Zadaniem agenta specjalnego Leona jest wytropienie bioorganicznej broni używanej w czasie wojny.",horror
footloose,"Wychowany w Chicago Ren przeprowadza się do małego miasteczka, gdzie panuje zakaz tańczenia i słuchania rockowej muzyki. Chłopak buntuje rówieśników przeciwko lokalnej władzy.&nbsp;",drama
9,"Wojna z maszynami doprowadza do zagłady ludzkości. Jedynymi ocalałymi jest grupa szmacianych laleczek, wśród których wyróżnia się ta z numerem 9 na plecach. ",animation
the worlds fastest indian,"Nowozelandczyk, Burt Munro, marzy o tym, by swoim motocyklem wystartować w wyścigu na słonych torach Bonneville. Za ostatnie pieniądze udaje się do USA i zamierza pobić rekord prędkości.",biography
the others,"Dzieci Grace cierpią z powodu choroby, przez którą nie mogą przebywać na słońcu, dlatego cała rodzina żyje w półmroku. Wkrótce matka odkrywa, że jej dom zamieszkuje ktoś jeszcze. ",thriller
cujo,"Kiedy spokojny i przyjazny pies bernardyn zostaje ukąszony przez nietoperza, staje się bezlitosną bestią.",horror
chernobyl diaries,"Sześcioro młodych ludzi, szukających ekstremalnych wrażeń, wynajmuje przewodnika. Ten, mimo surowych zakazów, zabiera ich do owianego tajemnicą miasta-widmo.",horror
the seasoning house,"Młoda kobieta, będąc opiekunką prostytuujących się dla wojska dziewczyn, planuje brutalną zemstę. ",thriller
enemy of the state,Młody prawnik wchodzi w posiadanie dowodu zbrodni dokonanej przez rządowych agentów i staje się celem szpiegowskich ataków.,thriller
the enforcer,"Inspektor Callahan wraz z nową partnerką wpada na trop szajki przestępczej, która terroryzuje miasto. ",crime
wonder,"Auggie od urodzenia ma&nbsp;zdeformowaną twarz. W nowej szkole chłopiec chce udowodnić rówieśnikom, że piękno to więcej niż wygląd.",drama
beethovens 2nd,"Beethoven, bernardyn państwa Newtonów, zakochuje się w Missy i wkrótce przychodzą na świat ich szczenięta. Właścicielka suczki nie ma względem psów dobrych zamiarów.",family
tarzan,"Tarzan i Jane stają twarzą w twarz z armią najemników prowadzoną przez mężczyznę, który zagarnął majątek rodziców młodzieńca po tym, jak zginęli w katastrofie lotniczej.",animation
le gendarme de saint-tropez,Nerwowy i surowy sierżant zostaje przydzielony do posterunku policji w Saint-Tropez. Postanawia pozbyć się nudystów z okolicznych plaż. ,comedy
the midnight sky,Światem wstrząsa tajemnicza katastrofa. Samotny naukowiec z Arktyki próbuje skontaktować się z załogą wracających do domu astronautów.,drama
the brood,"Żona Franka Carvetha trafia pod opiekę ekscentrycznego psychologa,&nbsp;który wykorzystuje innowacyjne techniki, aby przełamać psychologiczne blokady u pacjentów.",horror
the way back,"Pogrążony w depresji Jack Cunningham, który przed laty zrezygnował z kariery sportowej, podejmuje się trenowania drużyny koszykarskiej&nbsp;swojej dawnej szkoły.",drama
alvin and the chipmunks: the squeakquel,"Dave decyduje, że jego podopieczni powinni zawiesić karierę i pójść do szkoły. Tymczasem zespołowi wyrasta konkurencja w postaci damskiego tria śpiewających wiewiórek.&nbsp;",animation
godzilla,"Ogromny, zmutowany gad pojawia się u wybrzeży Nowego Jorku i sieje postrach na Manhattanie. ",action
da hai," Chun żyje w mistycznej krainie zamieszkałej przez magiczne istoty. Gdy kończy szesnaście lat zostaje przeniesiona do świata ludzi, gdzie pod postacią czerwonego delfina... ",animation
the evil dead,Grupa znajomych przyjeżdża w góry do opuszczonego domku. W nocy wczasowicze nieświadomie przywołują złe demony.,horror
the professor,"Profesor diametralnie zmienia swoje nastawienie do życia, gdy dowiaduje się że jest nieuleczalnie chory.",drama
horrible bosses 2,"Nick, Dale i Kurt chcą założyć własny biznes, ale sprytny inwestor niweczy ich plany. Zdesperowani planują porwanie syna przedsiębiorcy, by odzyskać kontrolę nad firmą.",comedy
the lake house,"Kate i Alex odkrywają, że mieszkają w tym samym domu nad jeziorem, ale dzieli ich różnica dwóch lat. Komunikują się ze sobą za pomocą magicznej skrzynki pocztowej.",fantasy
fast five,"Grupa kierowców naraża się niebezpiecznemu gangsterowi, organizuje ryzykowny napad i musi wymknąć się ścigającemu ich nieustępliwemu agentowi.",action
la vieille dame et les pigeons,Wygłodzony żandarm spotyka w parku staruszkę karmiącą ptaki ciastkami. Udaje się więc do domu starszej pani w przebraniu gołębia.,animation
alexander,"Oparta na faktach opowieść o Aleksandrze Macedońskim, który w IV wieku p.n.e. podbił większość ówczesnego świata i stworzył imperium rozciągające się od Grecji aż po Indie.",biography
er ist wieder da,"Kiedy po&nbsp;70 latach Adolf Hitler budzi się w&nbsp;miejscu, gdzie niegdyś stał jego bunkier, zostaje wzięty za&nbsp;genialnego komika i&nbsp;staje się fenomenem medialnym.",comedy
war photographer," Film dokumentalny poświęcony fotografowi wojennemu James'owi Nachtwey, człowiekowi uznawanego przez wielu za najlepszego w dziedzinie fotografii wojennej. Dzięki tej... ",documentary
julius caesar," Adaptacja sztuki Williama Szekspira. Opowiada o spisku jaki zawiązał Brutus i Cassius, który miał na celu zabicie Cezara i przejęcie władzy. Jednakże w swoich planach nie... ",drama
dancer,"Fascynująca opowieść o wielkiej pasji, morderczej pracy, ogromnym sukcesie, wypaleniu i odkrywaniu siebie na nowo. Bohaterem filmu jest Siergiej Połunin zwany „chuliganem baletu”.",documentary
miss americana,"Szczery do&nbsp;bólu dokument o&nbsp;Taylor Swift — autorce piosenek i&nbsp;artystce, ale przede wszystkim kobiecie wykorzystującej pełnię możliwości swojego głosu.",documentary
vacation,"Rodzina Griswoldów wyrusza w samochodową podróż przez Stany Zjednoczone, której celem jest park rozrywki. ",comedy
someone great,Ambitna dziennikarka żegna się z nowojorskimi przyjaciółkami przed przeprowadzką do San Francisco.,comedy
the mist,Adaptacja opowiadania Stephena Kinga. W gęstej i nieprzeniknionej mgle na ludzi zaczynają polować tajemnicze istoty.,horror
mr. beans holiday,Jaś Fasola wygrywa wycieczkę i wyrusza w pełną przygód podróż do Cannes.,family
the fog,Antonio Bay zostaje nawiedzone przez tajemniczą mgłę.,horror
the dead dont die,W małym miasteczku Centerville umarli wstają z grobów i atakują żywych. Mieszkańcy walczą o przetrwanie.,horror
bebe,"Pierwszy rok z życia czwórki maluchów z różnych krańców świata, które w odmienny sposób poznają swoje otoczenie. ",documentary
shan he gu ren,"U progu XXI wieku Tao wychodzi za przyjaciela, Zhanga. Kilkanaście lat później ich mieszkający w Australii syn, Dollar, nie czuje żadnego związku z Chinami, swoim miejscem urodzenia.",drama
amazing grace,"XVIII wiek, Wielka Brytania. Młody polityk, William Wilbeforce, staje na czele ruchu dążącego do zniesienia niewolnictwa.",biography
los abrazos rotos,"Opętany miłością milioner zrobi wszystko, by zatrzymać przy sobie ukochaną. Kobieta czuje do niego jedynie wdzięczność i w tajemnicy spotyka się z innym mężczyzną.",thriller
the haunting,"Grupa osób cierpiących na bezsenność zgłasza się do badań prowadzonych w oddalonym od cywilizacji domu. Nie wiedzą, że grozi im śmiertelne niebezpieczeństwo.",horror
little favour,"Były żołnierz, Wallace, walczy z zespołem stresu pourazowego. W międzyczasie pojawia się stary przyjaciel proszący o pomoc, James, któremu wojak zawdzięcza życie. ",thriller
the dark knight rises," Po ośmiu latach nieobecności Batman wraca, by uratować Gotham City przed zamaskowanym terrorystą Bane'em.",action
the act of killing,Dokument przedstawia sposób działania indonezyjskich szwadronów śmierci w 1965-66 roku.,documentary
the nut job,Wygnany z parku do miasta Wiewiór organizuje ekipę do obrabowania spiżarni z orzechami. ,animation
hush," Młoda i ciężarna żona Jacksona (G. Paltrow) staje się obiektem szykan jego matki, Marthy (J. Lange), która nie może pogodzić się z utratą syna na rzecz innej kobiety.... ",drama
trust,Czternastoletnia Annie poznaje na czacie o dwa lata starszego Charliego. Dziewczyna coraz bardziej angażuje się w internetową znajomość. ,drama
the spirit," Pewnej księżycowej nocy w Central City, policjant Denny Colt (Gabriel Macht), rusza na kolejną misję. Trop wiedzie go na błotniste nabrzeże, wprost do starego zatopionego... ",fantasy
"south park: bigger, longer &amp; uncut","Grupa amerykańskich dzieciaków&nbsp;ogląda kanadyjski film dla dorosłych.&nbsp;Po seansie zaczynają nadużywać wulgarnych słów, co staje się powodem do wybuchu wojny&nbsp;między oboma krajami.",animation
"dzien dobry, kocham cie!",Lekarz Szymon spotyka Basię - miłośniczkę jazdy na rolkach i od razu zakochuje się w niej. Ich miłości może jednak zaszkodzić playboy Leon. ,comedy
the forger,"Fałszerz, aby zostać zwolnionym z więzienia, decyduje się na skok życia: podrobienie obrazu Moneta i kradzież oryginału. W przekręcie pomaga mu ojciec oraz syn.",crime
my favorite martian,W pobliżu domu reportera telewizyjnego rozbija się UFO. Mężczyzna postanawia pomóc kosmicie.,family
scream,"Młoda kobieta wraca do swojego rodzinnego miasta, żeby poznać przerażające przypadki morderstw związanych z zamaskowanym seryjnym mordercą.&nbsp;",horror
the girl with the dragon tattoo,Ekranizacja powieści Stiega Larssona. Dziennikarz oskarżony o zniesławienie otrzymuje zlecenie zbadania zaginięcia przed 40 laty 16-letniej Harriet Vanger.,crime
the bag man,"Po zabiciu kilku osób kryminalista zatrzymuje się w obskurnym motelu i oczekuje na przybycie szefa, nosząc przy sobie tajemniczą torbę.",crime
frequency,"Historia ojca i syna, którzy żyjąc w różnych wymiarach czasowych, nawiązują ze sobą kontakt. Doprowadza to do zmiany biegu wydarzeń oraz związanych z tym poważnych konsekwencji. ",thriller
hwal," Film opowiada o uczuciu pomiędzy staruszkiem, a nastoletnią dziewczyną. Oboje mieszkają na łodzi dryfującej u wybrzeży Korei. On żyje z pieniędzy wędkarzy, których... ",drama
upgrade,"Sparaliżowany Grey poddaje się nowatorskiemu zabiegowi, aby o własnych siłach odnaleźć zabójców swojej żony. ",action
wilde,"Historia irlandzkiego poety i pisarza, Oscara Wilde'a, którego do ruiny doprowadził potępiany w epoce wiktoriańskiej biseksualizm.",biography
sherlock holmes,Najsłynniejszy detektyw Sherlock Holmes z nieodłącznym przyjacielem dr. Watsonem szukają sprawcy rytualnych morderstw.,crime
breathe,"Młody, pełen życia mężczyzna zapada na chorobę, która powoduje paraliż.",biography
pet sematary ii,"Drew wraz z Jeffem chowa psa na cmentarzu, gdzie dochodzi do wskrzeszenia czworonoga.",horror
top gun: maverick," Po ponad 30 latach w służbie amerykańskiej marynarki wojennej Pete ""Maverick"" Mitchell (Tom Cruise) jest tam, gdzie powinien być - na szczycie. Jest mistrzowskim pilotem,... ",action
last christmas,"Kate to pechowa dziewczyna pracująca jako asystentka Świętego Mikołaja w londyńskim domu towarowym. Kiedy poznaje Toma, jej życie zaczyna się zmieniać na lepsze.&nbsp;",drama
lincredibile storia dellisola delle rose,"Inżynier idealista buduje własną wyspę niedaleko wybrzeża Włoch i&nbsp;ogłasza ją niepodległym krajem, przyciągając uwagę świata i&nbsp;włoskiego rządu.",comedy
quest for camelot,"Kayley, córka jednego z Rycerzy Okrągłego Stołu, wyrusza na poszukiwanie skradzionego Excalibura. Towarzyszą jej niewidomy giermek i dwugłowy smok.",animation
this boys life,"Tobias Wolff jest pisarzem i wykładowcą literatury, którego w młodości łączyły trudne więzy z ojcem - tyranem.",biography
this is forty,"Codzienne problemy Debbie i Pete'a, których małżeństwo przechodzi poważny kryzys.",comedy
sen o warszawie,"Dokument przedstawia życie i twórczość Czesława Niemena w oparciu o materiały archiwalne, wypowiedzi rodziny, krytyków oraz dziennikarzy.",biography
leto,"Leningrad, lata 80. XX w. Wiktor Coj zakłada zespół Kino, który odmienia radziecką scenę muzyczną.",biography
the brken," Lena Headey gwiazda ""Nieustraszonych Braci Grimm"" oraz ""300"" tym razem wciela się w rolę kobiety, której życie wali się w gruzach, kiedy na londyńskiej ulicy zauważa... ",thriller
snowtown,"Dorastający na przedmieściach Adelajdy nastoletni Jamie, odnajduje autorytet w charyzmatycznym Johnie.",drama
dont look now,"John i Laura Baxterowie podczas wakacji w Wenecji spotykają dwie kobiety. Jedna z nich twierdzi, że widzi ducha ich zmarłej córki. ",horror
black knight,"Pracownik parku rozrywki, Jamal w wyniku urazu głowy przenosi się do średniowiecza.",comedy
beksinscy. album wideofoniczny,Dokument ukazuje życie rodziny Beksińskich za pośrednictwem prywatnych materiałów dźwiękowych i filmowych.,documentary
ammonite,"Zbieraczka skamielin Mary i kobieta wysłana na rekonwalescencję nad morze rozwijają namiętną znajomość, która zmieni ich życie na zawsze. ",drama
capitalism: a love story,Dokument ukazuje amerykańską miłość do kapitalizmu i jej skutki.,documentary
ring,"Reiko bada sprawę tajemniczej kasety wideo, po obejrzeniu której umiera się w ciągu tygodnia.",horror
47 ronin,Grupa samurajów występuje przeciw okrutnemu wysłannikowi szoguna. Wojownicy za wszelką cenę chcą pomścić śmierć swojego mistrza. ,fantasy
the courier,"Greville Wynne, szpieg z czasów Zimnej wojny, oraz jego rosyjski informator próbują zażegnać kryzys kubański. ",thriller
the hot chick,Najładniejsza nastolatka w szkole budzi się rano jako mało atrakcyjny trzydziestolatek.,fantasy
freaks of nature,Dwoje nastolatków łączy siły z wampirami i zombie w celu pokonania kosmitów. ,horror
flaskepost fra p,"Na duńskiej plaży zostaje odnaleziona butelka z niepokojącym listem. Sprawa trafia do departamentu Q, zajmującego się niewyjaśnionymi przestępstwami sprzed lat. ",crime
beverly hills cop iii,Axel Foley próbuje odnaleźć winnych śmierci swojego szefa. Ślad prowadzi go do wielkiego parku rozrywki w Beverly Hills.,comedy
the last samurai,"Kapitan Nathan Algren w niewoli u samurajów poznaje ich zwyczaje i znajduje spokój, którego od dawna szukał po wojnach z Indianami.",drama
malasana 32,"Po przeprowadzce do nowo zakupionego mieszkania członkowie rodziny zaczynają podejrzewać, że może to być miejsce nawiedzone przez złe duchy.",horror
twilight,Adaptacja książki Stephenie Meyer. Nieśmiała i zagubiona nastolatka zakochuje się w wampirze.,horror
frankenweenie,Dziesięcioletni chłopczyk wskrzesza swojego ukochanego pieska.,family
hot girls wanted,Rashida Jones bierze pod lupę kobiety zajmujące się amatorską pornografią oraz ich świat. Wielkie odkrycie festiwalu Sundance w 2015 roku.,documentary
fragiles,"Młoda pielęgniarka, Amy, zostaje zatrudniona w upadającym szpitalu, gdzie nocą dochodzi do tajemniczych zjawisk.",horror
lebanon,"Czerwiec 1982 roku, wojna libańska. Grupa niedoświadczonych żołnierzy dostaje zadanie rozpoznania terenu wroga. ",drama
the life and death of peter sellers," ""Peter Sellers - Życie &amp; Śmierć"" to film zrealizowany na podstawie książki Rogera Lewisa. Przedstawia portret słynnego brytyjskiego aktora Petera Sellersa (Geoffrey... ",biography
american ninja,"Amerykański żołnierz, świetnie wyszkolony w&nbsp; sztuce ninjutsu, rozwiązuje zagadkę tajemniczych napadów wojowników ninja na wojskowe konwoje. ",action
al final del tunel,Sparaliżowany mężczyzna odkrywa w swojej piwnicy odgłosy rabusiów planujących obrabować bank. Postanawia interweniować. ,crime
running on empty,Poszukiwane przez FBI małżeństwo od siedemnastu lat żyje na walizkach. Ich najstarszy syn musi wybrać między rodziną a podążaniem własną drogą.,drama
"zbrodniarz, ktory ukradl zbrodnie",Emerytowany milicjant opowiada dziennikarzowi o podjętym przez siebie prywatnym śledztwie. ,crime
