title,description,genre
blokersi,Film opowiada o młodych polskich raperach&nbsp;dorastających&nbsp;w wielkomiejskich aglomeracjach.,documentary
the secret life of pets,"Gdy ludzie opuszczają dom, zwierzęta prowadzą życie pełne przygód i intryg.&nbsp;",animation
the hot chick,Najładniejsza nastolatka w szkole budzi się rano jako mało atrakcyjny trzydziestolatek.,fantasy
wilcze echa,Miasteczko w Bieszczadach jest nękane przez grupę bandziorów. Chorąży Piotr Słotwina podejmuje z nimi walkę. ,crime
"monsters, inc.","Potwory straszą dzieci, bo to ich praca, ale w rzeczywistości panicznie się ich boją. Pewnego razu do ich świata trafia dziewczynka, która nie czuje przed nimi strachu.",animation
avengers: endgame,"Po wymazaniu połowy życia we Wszechświecie przez Thanosa Avengersi starają się zrobić wszystko, co konieczne, aby pokonać szalonego tytana. ",action
the kid,"Nieszczęśliwy i nielubiany doradca wizerunkowy dostaje drugą szansę w życiu, gdy spotyka tajemniczego chłopca będącego ośmioletnią wersją jego samego.",family
der name der rose,"Rok 1327, franciszkanin William z Baskerville zostaje poproszony o wyjaśnienie okoliczności śmierci zakonnika w benedyktyńskim klasztorze. Kolejne zabójstwa wywołują panikę.",crime
exit through the gift shop,"Dokument przedstawia francuskiego sklepikarza, który zapragnął odnaleźć i zaprzyjaźnić się z Banksym, ulicznym artystą o nikomu nieznanej tożsamości.",documentary
you dont know jack,Lata 90. XX wieku. Amerykański lekarz toczy walkę o legalizację eutanazji. ,biography
elizabethtown,"Po druzgocącej klęsce na gruncie zawodowym, Drew Baylor dowiaduje się o śmierci ojca. Mężczyzna miał atak serca podczas wizyty u krewnych w Elizabethtown, więc syn musi tam pojechać, by sprowadzić jego ciało do domu. ",comedy
penthouse north,"Niewidoma kobieta zostaje napadnięta przez mężczyznę sądzącego, że w jej mieszkaniu znajdują się drogocenne diamenty.",thriller
transit,"W czasie podróży na wakacje małżeństwo znajduje w swoim bagażu torbę z pieniędzmi. Niebawem muszą stawić czoła groźnym kryminalistom, chcącym odebrać swoją własność. ",crime
hoodwinked too! hood vs. evil,"Kiedy Czerwony Kapturek odbywa szkolenie przygotowujące do specjalnej misji, zła czarownica uprowadza Jasia i Małgosię. Dziewczynka z pomocą swojego partnera Wilka postanawia rozwikłać tę sprawę. ",animation
haxan,"Dokument pokazuje ewolucję czarownictwa, od jego pogańskich korzeni do pomieszania z histerią w Europie Wschodniej.",documentary
naboer,John nawiązuje nietypową relację z dwiema atrakcyjnymi sąsiadkami. ,thriller
the house with a clock in its walls,"Nastoletni Lewis pomaga swojemu wujowi odnaleźć czarnoksiężnika, który stworzył zegar. Urządzenie to odmierza czas do nadchodzącej Apokalipsy. ",fantasy
overlord,"Przeddzień operacji D-Day, amerykańscy spadochroniarze w nazistowskiej wieży odkrywają niebezpieczne eksperymenty, które mają Hitlerowi pomóc wygrać II wojnę światową. ",horror
the five-year engagement,"Tom i Violet planują ślub. Przekładają go z roku na rok, poświęcając się karierze.",comedy
"kochanie, chyba cie zabilem",Nagranie wideo z zarejestrowanym morderstwem przypadkowo trafia w niepowołane ręce.,thriller
pacific rim,Świat nie umie obronić się przed morskimi potworami z&nbsp;innego wymiaru. Ostatnią nadzieją naszej planety stają się wydalony ze&nbsp;służby pilot i&nbsp;niedoszkolona nowicjuszka.,action
double impact,"Rozdzieleni w dzieciństwie bliźniacy spotykają się po latach, by wspólnie pomścić śmierć rodziców.",crime
summer of 84,"Grupa nastolatków zaczyna szpiegować miejscowego policjanta, podejrzewając, że jest on seryjnym mordercą.",thriller
poniedzialek,Maniek podejmuje się ściągnięcia długów dla właściciela bankrutującej cukrowni. W sukurs przychodzą mu przyjaciele - Dawid i Romek. ,thriller
janis: little girl blue,Dokument opowiadający o dzieciństwie Janis Joplin naznaczonym bolesnym odrzuceniem i poczuciem niedopasowania. Przywołuje też czasy rozkwitu kariery piosenkarki.,biography
this is it,"Dokument ukazuje przygotowania Michaela Jacksona do serii pięćdziesięciu koncertów, które miały odbyć się w Londynie.",documentary
dnevnoy dozor,"Na czele sił Światła i Ciemności stają potężni Wielcy, którzy dążą do ostatecznej bitwy. Anton stara się zapobiec nadchodzącej Apokalipsie. ",fantasy
ghost ship,Grupa poszukiwaczy odnajduje zaginiony przed laty statek.,horror
the man with the iron fists,"Walczące ze sobą klany usiłują przejąć rządowy transport złota, który zmierza do jednej z chińskich wiosek. ",action
land of the lost,"Paleontolog z dwójką towarzyszy, trafiając do zaginionej w czasie krainy zamieszkanej przez prehistoryczne stworzenia, stara się znaleźć sposób, by wrócić na Ziemię. ",comedy
max payne,Adaptacja słynnej gry komputerowej. Detektyw nowojorskiej policji Max Payne szuka morderców swojej żony i dziecka. ,crime
martyrs,"Skatowana Lucie trafia do szpitala, gdzie poznaje dziewczynę, która doświadczyła przemocy z rąk najbliższych osób.",drama
the jungle book,"Mały chłopiec zostaje wychowany w dżungli przez dzikie zwierzęta. Gdy dorasta, postanawia odszukać Kitty, miłość z dzieciństwa. ",family
rocketman,"Historia życia Eltona Johna ukazująca artystę od jego najmłodszych lat w Królewskiej Akademii Muzycznej po długoletnią współpracę z autorem tekstów, Berniem Taupinem.",biography
maleficent,Wojna między królestwami prowadzi do przemiany Maleficent z dobrej dziewczyny w złą czarownicę. ,family
the tale of despereaux,"Mała myszka o nienaturalnie wielkich uszach mieszka w zamku, z upodobaniem czyta książki i pragnie zostać rycerzem.",animation
un homme ideal,"Młody mężczyzna pragnie zostać pisarzem, lecz żadna z jego książek nie kwalifikuje się do publikacji. Niespodziewanie znajduje materiał autorstwa nieżyjącego staruszka, który sobie przywłaszcza. ",thriller
chain reaction,"Grupa naukowców dokonuje odkrycia w dziedzinie alternatywnych źródeł energii. Tego samego dnia większość zespołu zostaje zamordowana, a dwoje pozostałych badaczy oskarżonych o zabójstwo i zdradę.",thriller
shrek 2,"Shrek i Fiona postanawiają odwiedzić rodziców księżniczki, którzy nie wiedzą jednak, że poślubiła ona ogra, a sama zmieniła się w ogrzycę.",animation
hot girls wanted,Rashida Jones bierze pod lupę kobiety zajmujące się amatorską pornografią oraz ich świat. Wielkie odkrycie festiwalu Sundance w 2015 roku.,documentary
godzilla,"Najsłynniejszy potwór w historii mierzy się z wrogimi stworami, które, wzmocnione przez arogancję i nieświadomość naukowców, zagrażają ludzkości. ",action
us,"Matka i ojciec spędzają czas z dziećmi w domku na plaży. Wkrótce ich spokój zakłócają nieproszeni goście, którzy nie mają dobrych intencji.",horror
greenland,Rodzina walczy o przetrwanie w obliczu katastrofalnej klęski żywiołowej.,thriller
benedetta,"Żyjąca w XVII wieku zakonnica Bernadetta cierpi na niepokojące wizje, które wzbudzają obawy Watykanu.",biography
the last summer,W trakcie ostatnich wakacji przed rozpoczęciem zajęć w college’u stojąca u progu dorosłości grupa przyjaciół próbuje szczęścia w dotychczasowych i całkiem nowych związkach.,comedy
jing wu men,Chen pragnie pomścić swojego mistrza otrutego przez członków japońskiej szkoły sztuk walki. ,action
happy death day,"Tree Gelbman musi dowiedzieć się, kto jest jej zabójcą, aby przestać przeżywać swoje ostatnie urodziny każdego dnia.",horror
the wedding date,"Kat nie ma z kim iść na ślub swojej siostry. Wynajmuje więc Nicka, chłopaka do towarzystwa.",comedy
the dogs of war,"Brytyjski koncern organizuje w afrykańskim państwie przewrót wojskowy, aby przejąć wydobycie bogatych złóż mineralnych. Wykorzystuje do tego ekipę najemników.",thriller
ghost dad,"Owdowiały biznesmen ginie w wypadku samochodowym. Jego duch powraca do domu, by zaopiekować się rodziną. ",family
jumanji: the next level,"Spencer ponownie trafia do świata Jumanji. Z pomocą przychodzą mu przyjaciele, bez których wydostanie się z gry jest niemożliwe.",fantasy
x-men,Ekranizacja popularnej serii komiksów o obdarzonych nadnaturalnymi zdolnościami mutantach. Schronienie przed prześladowaniami ze strony ludzi znajdują w specjalnej szkole profesora Charlesa Xaviera.,action
dangerous minds,Była oficer marines zatrudnia się jako nauczycielka w jednej ze szkół Los Angeles. Jej niekonwencjonalne metody zmieniają życie wyjątkowo trudnych uczniów.,biography
odd thomas,Adaptacja powieści Deana R. Koontza. Obdarzony darem jasnowidzenia Odd mierzy się z mrocznymi siłami.,fantasy
the expendables,Grupa najemników otrzymuje zadanie obalenia dyktatora jednego z południowoamerykańskich państw. Wyruszają więc na samobójczą misję. ,action
frequently asked questions about time travel,Trójka znajomych postanawia rozwiązać problem podróży w czasie.,comedy
hop,"Zając Zet, dziedzic fabryki słodyczy na Wyspie Wielkanocnej, nie ma ochoty przejmować schedy po ojcu. Ucieka więc z domu, aby zostać perkusistą rockowego zespołu.",animation
possessor,"Tajna organizacja, na zlecenie bogatych klientów, oferuje usługę wszczepienia implantu do mózgu, który umożliwia zmuszenie człowieka do popełniania zabójstw na zlecenie. ",thriller
horton hears a who!,"Słoń Horton jako jedyny słyszy mieszkańców mikroskopijnego miasta Ktosiowa. Jego przyjaciele są przekonani, że zwariował. ",animation
im not ashamed,"Prawdziwa i niezwykła historia Rachel Joy Scott, uczennicy Columbine High School i pierwszej ofiary strzelaniny z 20 kwietnia 1999 roku.",biography
saw ii,"FBI znajduje kryjówkę Jigsawa, jednak nowa gra już się rozpoczęła.",horror
papusza,"Historia pierwszej romskiej poetki, której wiersze zostały&nbsp;spisane i przetłumaczone na język polski.",biography
the dark knight rises," Po ośmiu latach nieobecności Batman wraca, by uratować Gotham City przed zamaskowanym terrorystą Bane'em.",action
edison,Po odkryciu oddziału skorumpowanych policjantów młody dziennikarz prosi zaufanych znajomych o pomoc w ich zdemaskowaniu.,crime
jacobs ladder,Weterana wojennego z Wietnamu dręczą niepokojące koszmary nocne i narasta w nim poczucie bycia szpiegowanym.,thriller
happy family," Fay Sielska jest zwyczajną, nieco zbuntowaną nastolatką. Jej młodszy brat Max z racji nieprzeciętnej inteligencji ma na pieńku ze szkolnymi łobuzami. Rodzice natomiast... ",animation
ooops! noah is gone...,"Zwierzaki, którym nie udało się dostać na Arkę Noego, muszą sobie poradzić w świecie zalewanym przez wodę. ",animation
a walk in the clouds,"Paul, weteran wojenny, poznaje ciężarną Victorię. Jedzie z nią w rodzinne strony i udaje jej męża. ",drama
baczynski,"Opowieść o legendarnym poecie oraz bezsensie wojny i sztuce, która jest ponadczasowa, a także nieśmiertelna.",biography
limmortale,Ciro zostaje postrzelony w klatkę piersiową przez swojego jedynego prawdziwego przyjaciela i tonie w ciemnych wodach Zatoki Neapolitańskiej.,drama
koma,"Młody architekt ulega wypadkowi, gdy odzyskuje przytomność, świat jest jakiś inny. Musi więc poznać rządzące nim reguły i znaleźć drogę do swojej rzeczywistości. ",fantasy
tang shan da xiong,"Cheng rozpoczyna pracę w fabryce lodu, która jest przykrywką dla handlarzy narkotyków.",thriller
the other guys,"Gamble i Hoitz, dwaj pechowi detektywi, trafiają na trop wielkiej sprawy. Chcą za wszelką cenę doprowadzić do jej rozwiązania, by wyjść z cienia duetu najlepszych policjantów wydziału. ",action
snatched,Amy razem ze swoją matką wyjeżdżają na wycieczkę do Ekwadoru. Na miejscu zostają porwane i wywiezione do dżungli.,comedy
trespass," Na dom handlarza diamentami napadają bandyci, którzy chcą dostać się do sejfu z cenną zawartością. Właściciel nie ma zamiaru im tego ułatwiać. ",drama
overdrive,"Dwaj bracia trudniący się kradzieżą luksusowych samochodów jadą do Francji, gdzie podpadają lokalnej mafii.",action
moj biegun,"Historia najmłodszego niepełnosprawnego zdobywcy biegunów, Jana Meli, który uległ poważnemu wypadkowi. ",biography
echelon conspiracy,"W ręce specjalisty od zabezpieczeń komputerowych trafia telefon, a wraz z nim wiadomości umożliwiające zdobycie dużych pieniędzy. ",thriller
abraham lincoln: vampire hunter,"Prezydent USA Abraham Lincoln dowiaduje się, że wampiry planują przejąć władzę w kraju. Wypowiada więc im wojnę.",fantasy
ghosts," Film opowiada historię Maestro obdarzonego nadprzyrodzonymi mocami, który jest zmuszony przez burmistrza do opuszczenia miasteczka. Broniąc się przed przymusową eksmisją... ",horror
mr. poppers penguins,"Biznesmen otrzymuje w spadku sześć uroczych pingwinów, które całkowicie zmienią jego życie.",family
mortal kombat,"Siły zła chcą podbić Ziemię. Aby to uczynić, muszą pokonać ziemskich wojowników w Mortal Kombat, turnieju na śmierć i życie. ",fantasy
bad boys ii,Dwóch agentów jednostki antynarkotykowej z Miami stawia czoła bezwzględnemu kubańskiemu przemytnikowi ecstasy.,thriller
kret,"Paweł rozkręca wraz z ojcem wspólny interes. Wszystko&nbsp;układa się pomyślnie do momentu, kiedy powstaje artykuł godzący w dobre&nbsp;imię rodziny.",thriller
the island of dr. moreau,"Rozbitek, Edward Douglas, trafia na wyspę, którą zamieszkują przerażające hybrydy ludzi i zwierząt będące wynikiem eksperymentów genetycznych doktora Moreau. ",thriller
the sicilian,Wyjęty spod prawa Salvatore Giuliano razem z grupą partyzantów walczy o niepodległość Sycylii.,biography
the pink panther 2,"Inspektor Jacques Clouseau współpracuje z podobnie jak on niezdarnymi detektywami, by złapać złodzieja zabytków.",comedy
gimme danger,"Iggy Pop i muzycy z The Stooges zdradzają Jarmuschowi historie swoich wzlotów i upadków, blaski i cienie niebezpiecznego życia, a także wspominają największe prowokacje. ",documentary
chaplin,"Legenda kina, Charles Chaplin, opowiada o swoim życiu i karierze przygotowując autobiografię. ",biography
les miserables,"Montfermeil, które pulsuje od napięć, gniewu i niepewności to miejsce, w którym nawet niewinny psikus może okazać początkiem rewolucji. ",drama
to live and die in l.a.,Policjant Richard Chance chce pomścić śmierć swojego partnera. ,crime
never back down: no surrender,"Były zawodnik MMA Case Walker powraca, aby ponownie zostać mistrzem.",action
blast from the past,"Pan Webber, przekonany, że słyszy eksplozję bomby atomowej, schodzi z żoną do schronu, gdzie wkrótce rodzi się im syn. Po trzydziestu pięciu latach Adam wychodzi na powierzchnię, by uzupełnić zapasy i znaleźć sobie dziewczynę.",comedy
de lautre cote du periph,"Dwóch skrajnie różnych policjantów, rozwiązując kryminalną zagadkę, zadziera z wysoko postawionymi ludźmi władzy, którym wydaje się, że są nietykalni. ",action
paddington,Niedźwiadek szuka szczęścia w wielkim mieście.,family
dellamorte dellamore," Życie zwykłego opiekuna cmentarza nie jest takie łatwe jak się to wydaje. Nasz bohater - Francesco Dellamorte, oraz jego pomocnik - Gnaghi pracuja na cmentarzu Bullora,... ",horror
frankenweenie,Dziesięcioletni chłopczyk wskrzesza swojego ukochanego pieska.,family
time bandits,Uciekające przed swoim panem karły trafiają do mieszkania Kevina.,family
enchanted,"Zakochana dziewczyna zostaje wyrzucona ze swojej krainy. Ma nadzieję, że wkrótce pojawi się książę, który zabierze ją do domu.",family
cirque du freak: the vampires assistant,"Podczas pokazów dziwaków Darren kradnie zmutowanego pająka, który kąsa jego kolegę. Aby ocalić przyjaciela, chłopak podpisuję pakt z wampirem. ",fantasy
turistas,"Grupa przyjaciół z USA, podróżując beztrosko po Brazylii, wpada&nbsp;w ogromne niebezpieczeństwo, gdy trafia na handlarzy ludzkich organów.&nbsp;",horror
tarnation,"Autobiograficzny dokument ukazuje dziewiętnaście lat z życia filmowca, Jonathana Caouette'a.",biography
kokaku kidotai stand alone complex: solid state society,Sekcja 9 stara się rozwikłać sprawę dotyczącą hakera o pseudonimie Władca Marionetek.,action
drillbit taylor,"Troje uczniów zatrudnia ochroniarza, aby chronił ich przed znęcającymi się nad nimi kolegami ze szkoły. ",comedy
final destination 3,"Przeczucie śmiertelnego wypadku na rollercoasterze ratuje licealistkę i jej grupę znajomych. Śmierć chce wyrównać rachunki na tych, którzy uciekli przed swoim przeznaczeniem. ",horror
are we done yet?," Nick Persons (Ice Cube), jego świeżo poślubiona małżonka (Nia Long), oraz dwójka jej dzieci (Allen i Bolden) przeprowadzają się do kupionego po okazyjnej cenie domu na... ",family
petes dragon,"Tajemniczy dziesięciolatek Pete twierdzi, że mieszka w lesie sam, bez rodziny, jedynie z wielkim zielonym smokiem o imieniu Elliott.",family
amanda knox,"Amanda Knox jest amerykańską studentką, która w 2007 roku pojechała na wymianę do Włoch. Tam została oskarżona o morderstwo swojej współlokatorki - Meredith Kercher.",documentary
the truffle hunters,"Opowieść o grupie uroczych włoskich staruszków, którzy odkryli swój przepis na szczęście - razem ze swoimi ukochanymi psami szukają rzadkich i drogich trufli Alba w piemonckich górach. ",documentary
fuck for forest,"Film o berlińskiej grupie Fuck for Forest, która, głosząc hasła wyzwolenia seksualnego, chce uratować świat, sprzedając własne amatorskie filmy porno.",documentary
love &amp; mercy,"Lider zespołu Beach Boys przechodzi załamanie nerwowe, kiedy próbuje stworzyć awangardowe arcydzieło muzyczne. ",biography
icarus,"Amerykański kolarz bada aferę dopingową, w którą uwikłany jest rosyjski naukowiec - demaskator numer jeden na celowniku Putina.",documentary
the specialist,Piękna kobieta przygotowuje zemstę na zabójcach rodziców. Perfekcyjny plan powoli wprowadza w życie.,thriller
bombshell,"Historia kobiet, które przeciwstawiły się toksycznej atmosferze w słynnej sieci informacyjnej.",biography
